cast,director,genre,imdb_id,movie,movie_title,publication_date,rating
"Michal Zoharetz, Shira Lew-Munk, Liat Goren, Gedalia Besser, Levana Finkelstein",מיכל בת-אדם,"Biography, Drama",tt0109177,http://www.wikidata.org/entity/Q30314367,איה - אוטוביוגרפיה דמיונית,1994-01-01T00:00:00Z,7.1
"אורי גבריאל, דביר בנדק, אוולין קפלון, מיכאל ורשביאק, אבי אוריה, מיכאל רוז'צקי, מרינה שויף, ערן איווניר, אוולין הגואל, גיליה שטרן, יואב הייט, יוסי גרבר",איל חלפון,סרט דרמה,tt0468729,http://www.wikidata.org/entity/Q2516705,איזה מקום נפלא,2005-01-01T00:00:00Z,7.2
"Batya Lancet, Gideon Singer, Zeev Berlinsky, Ilana Rovina, Meira Shor",Peter Frye,"Comedy, Drama",tt0137009,http://www.wikidata.org/entity/Q5977971,איי לייק מייק,1961-01-01T00:00:00Z,7.2
"אורלי זילברשץ, אושרי כהן, יוסף אבו ורדה, פיני טבגר, יובל שרף, מיכאל מושונוב, עפר שכטר, שמיל בן ארי",רשף לוי,סרט דרמה,tt1210351,http://www.wikidata.org/entity/Q3306783,איים אבודים,2008-01-01T00:00:00Z,7.3
"Raida Adon, Alon Blumenshtein, Rony Bucksbaum, Roni Bukerbaum, Davida Karol",Yeud Levanon,Drama,tt0381283,http://www.wikidata.org/entity/Q52151537,איים בחוף,2003-01-01T00:00:00Z,
"ליאור אשכנזי, לירון קורן, אדם קנת, שמעון מימרן, סיגלית פוקס, יעל הדר, אשר צרפתי, ניסן נתיב, סיגלית תמיר, צחי גראד, שמואל אדלמן",Ori Ravid,סרט דרמה,tt1320376,http://www.wikidata.org/entity/Q7038386,אילי ובן,2008-01-01T00:00:00Z,7
"יובל סגל, אוולין קפלון, דורית בר-אור, ז'יל בן דוד, אורי קלאוזנר, ריימונד אבקסיס, מאיר סויסה, יעל פוליאקוב, אייל רוזלס",יעקב גולדווסר,Comedy,tt0498793,http://www.wikidata.org/entity/Q6665108,אין לה אלוהים,2006-01-01T00:00:00Z,5
"חוה אלברשטיין, אסי דיין, מוסקו אלקלעי, דני בסן, שלמה תרשיש, מיכה סלקטר, מאיר סויסה, אבי פניני",נדב לויתן,Drama,tt0135408,http://www.wikidata.org/entity/Q7044618,אין שמות על הדלתות,1997-01-01T00:00:00Z,7.4
"Mohammad Bakri, Ilanit Ben-Yaakov, Geta Munte, Ami Weinberg, Galia Yshai",Idan Haguel,Drama,tt5028530,http://www.wikidata.org/entity/Q52837350,אינרציה,2015-01-01T00:00:00Z,5.9
"Shmulik Kraus, Liora Ramon, Tirzeh Arbel, Itsik Barkat, Ilana Ben-David",David Greenberg,"Drama, Romance",tt0139385,http://www.wikidata.org/entity/Q52837354,איריס,1968-01-01T00:00:00Z,7.3
"Irit Alter, Oded Be'eri, Aryeh Cherner, Doval'e Glickman, Hanan Goldblatt",Naftali Alter,Drama,tt0148340,http://www.wikidata.org/entity/Q52843251,אירית עירית,1985-01-01T00:00:00Z,4.7
"איילת זורר, מנשה נוי",אלי כהן (במאי),סרט דרמה,tt0238960,http://www.wikidata.org/entity/Q16131523,איש החשמל,2003-01-01T00:00:00Z,6
"עאמר חליחל, אימן נחאס, לואי נופי, ראזי שואהדה, טארק קופטי, מאיסה עבד אלהאדי",סאמח זועבי,סרט קומדיה,tt1728240,http://www.wikidata.org/entity/Q3546637,איש ללא סלולרי,2011-01-01T00:00:00Z,6.9
"Amnon Berenson, Natan Cogan, Ruth Segal, Tziona Tuchterman",Isaac Zepel Yeshurun,Drama,tt0062501,http://www.wikidata.org/entity/Q52837358,אישה בחדר השני,1966-01-01T00:00:00Z,
"Roy Bar-Natan, Tchia Danon, Eitan Hammus, Noya Lancet, Ruhama Malka",Tamir Paul,סרט דרמה,tt0146670,http://www.wikidata.org/entity/Q6613503,אל עצמי,1988-01-01T00:00:00Z,7.2
"Amos Kollek, Shelby Livingston, Joe Cortez, Yossi Yadin, Shraga Harpaz",Barbara Noble,Drama,tt0133349,http://www.wikidata.org/entity/Q52837360,אל תשאלי אם אני אוהב,1979-01-01T00:00:00Z,
"חיים טופול, גילה אלמגור",מנחם גולן,trial film,tt0057025,http://www.wikidata.org/entity/Q5351163,אלדורדו,1963-01-01T00:00:00Z,6.7
"אילנית בן-יעקב, חיים זנאתי, טל קלאי, אביטל פסטרנק, אסיה נייפלד, רזיה ישראלי, נטע בר רפאל",דנה גולדברג,סרט דרמה,tt2219896,http://www.wikidata.org/entity/Q12403955,אליס,2012-01-01T00:00:00Z,5.3
"אבי קושניר, אורי כבירי",בועז דוידזון,קומדיה רומנטית,tt0133351,http://www.wikidata.org/entity/Q4717193,אלכס חולה אהבה,1986-01-01T00:00:00Z,7.1
"Nissim Azikri, Rivka Bahar, Jonathan Cherchi, Salim Dau, Levana Finkelstein",Michal Bat-Adam,סרט אמנותי,tt0097269,http://www.wikidata.org/entity/Q29028904,אלף נשותיו של נפתלי סימן טוב,1989-01-01T00:00:00Z,6.3
"Dina Doron, Kohava Harari, Addi Kaplan, Rivka Neuman, Rina Otchital",Mira Recanati,Drama,tt0133734,http://www.wikidata.org/entity/Q16258409,אלף נשיקות קטנות,1981-01-01T00:00:00Z,4.8
"Eyal Cohen, Silvia Drori, Liat Ekta, Attel Kovenska, Yossi Ollo","Matti Harari, Arik Lubetzki",Drama,tt1695992,http://www.wikidata.org/entity/Q6962607,אמא של ולנטינה,2008-01-01T00:00:00Z,6
גילה אלמגור,יואל זילברג,"Comedy, Drama",tt0145835,http://www.wikidata.org/entity/Q12404031,אמי הגנרלית,1979-01-01T00:00:00Z,5.9
"Liron Levo, Sarah Adler, Uri Avrahami, Edna Blilious, Shay Cachlany",Assaf Tager,"Drama, Mystery, Sci-Fi, Thriller",tt1677514,http://www.wikidata.org/entity/Q52837036,אנדנטה,2010-01-01T00:00:00Z,4.2
"אסי לוי, אורי גבריאל, שרה אדלר, יוסף אבו ורדה, נורמן עיסא, יובל שרף",עמוס גיתאי,סרט דרמה,tt3092086,http://www.wikidata.org/entity/Q16010685,אנה ערביה,2013-09-02T00:00:00Z,5.9
אוהד קנולר,ליאור הר-לב,Drama,tt1964485,http://www.wikidata.org/entity/Q12404090,אנחנו לא לבד,2012-01-01T00:00:00Z,5.8
