date_of_birth,genderLabel,imdb_id,occupationLabel,person,person_name,place_of_birthLabel,Actors_directors (Title)
1955-06-20T00:00:00Z,זכר,nm0258589,במאי קולנוע,http://www.wikidata.org/entity/Q12405771,דורון ערן,תל אביב-יפו,
1964-03-08T00:00:00Z,זכר,nm0874595,שחקן,http://www.wikidata.org/entity/Q6993464,דורון צברי,חיפה,
1952-07-02T00:00:00Z,זכר,nm0851788,שחקן,http://www.wikidata.org/entity/Q1246107,דורון תבורי,חיפה,
1984-01-01T00:00:00Z,זכר,nm3561877,שחקן,http://www.wikidata.org/entity/Q3036966,דוריד לידאווי,נצרת,
1975-01-01T00:00:00Z,נקבה,nm2046711,שחקן,http://www.wikidata.org/entity/Q5298017,דורית בר-אור,ישראל,
2000-01-01T00:00:00Z,נקבה,nm0233972,שחקן,http://www.wikidata.org/entity/Q1226174,דינה דורון,עפולה,
1947-01-01T00:00:00Z,נקבה,nm0726952,במאי קולנוע,http://www.wikidata.org/entity/Q6761893,דינה צבי-ריקליס,רמת גן,
1973-01-08T00:00:00Z,נקבה,nm4635926,שחקן,http://www.wikidata.org/entity/Q12405808,דיקלה,באר שבע,
1942-10-12T00:00:00Z,נקבה,nm0492002,שחקן קולנוע,http://www.wikidata.org/entity/Q274158,דליה לביא,שבי ציון,
1962-05-03T00:00:00Z,נקבה,nm0793703,שחקן,http://www.wikidata.org/entity/Q6994241,דליה שימקו,נובה זמקי,
1951-08-10T00:00:00Z,זכר,nm0901684,שחקן,http://www.wikidata.org/entity/Q7063528,דליק ווליניץ,רחובות,
1924-04-13T00:00:00Z,זכר,nm0069895,שחקן,http://www.wikidata.org/entity/Q536579,דן בן אמוץ,רובנו,
1941-10-28T00:00:00Z,זכר,nm0938630,שחקן,http://www.wikidata.org/entity/Q5214611,דן וולמן,ירושלים,
1982-10-10T00:00:00Z,זכר,nm1405398,שחקן,http://www.wikidata.org/entity/Q958385,דן סטיבנס,קרוידון,
1958-10-17T00:00:00Z,זכר,nm0868072,שחקן,http://www.wikidata.org/entity/Q6609639,דן תורג'מן,ירושלים,
1960-10-17T00:00:00Z,זכר,nm0867936,שחקן,http://www.wikidata.org/entity/Q12405841,דן תורן,ישראל,
1970-11-02T00:00:00Z,נקבה,nm0074148,שחקן,http://www.wikidata.org/entity/Q433246,דנה ברגר,חיפה,
1987-02-01T00:00:00Z,נקבה,nm2601667,שחקן,http://www.wikidata.org/entity/Q7060832,דנה פרידר,ראשון לציון,
1962-05-14T00:00:00Z,זכר,nm0396812,שחקן,http://www.wikidata.org/entity/Q357762,דני יוסטון,רומא,
1943-06-30T00:00:00Z,זכר,nm0514320,שחקן,http://www.wikidata.org/entity/Q3701528,דני ליטני,חיפה,
1970-06-22T00:00:00Z,זכר,nm1836981,במאי קולנוע,http://www.wikidata.org/entity/Q5216242,דני מנקין,תל אביב-יפו,
1971-03-04T00:00:00Z,זכר,nm0843491,במאי קולנוע,http://www.wikidata.org/entity/Q2907390,דני סירקין,מוסקבה,
1955-01-01T00:00:00Z,זכר,nm0782027,שחקן,http://www.wikidata.org/entity/Q6573525,דני שגב,ישראל,
1966-11-12T00:00:00Z,זכר,nm0795464,שחקן,http://www.wikidata.org/entity/Q16130933,דני שטג,חיפה,
1990-01-01T00:00:00Z,זכר,nm3581671,שחקן,http://www.wikidata.org/entity/Q17523668,דניאל גד,רחובות,
1950-01-01T00:00:00Z,זכר,nm0200417,במאי קולנוע,http://www.wikidata.org/entity/Q5220050,דניאל דניאל,חיפה,
1962-12-17T00:00:00Z,זכר,nm0284369,במאי קולנוע,http://www.wikidata.org/entity/Q653645,ארי פולמן,חיפה,
1921-04-01T00:00:00Z,זכר,nm0019536,שחקן,http://www.wikidata.org/entity/Q12404234,אריה אליאס,בגדאד,
1918-01-30T00:00:00Z,זכר,nm0481605,במאי קולנוע,http://www.wikidata.org/entity/Q445188,אריה להולה,פרשוב,
1947-07-01T00:00:00Z,זכר,nm0608761,שחקן,http://www.wikidata.org/entity/Q12404254,אריה מוסקונה,בולגריה,
1957-03-01T00:00:00Z,זכר,nm0155888,שחקן,http://www.wikidata.org/entity/Q12404260,אריה צ'רנר,רמלה,
1939-01-03T00:00:00Z,זכר,nm0251870,שחקן,http://www.wikidata.org/entity/Q509660,אריק איינשטיין,תל אביב-יפו,
1957-02-01T00:00:00Z,זכר,nm0899070,במאי קולנוע,http://www.wikidata.org/entity/Q4111878,אריק קפלון,בלגורוד,
1912-11-08T00:00:00Z,זכר,nm0501703,שחקן,http://www.wikidata.org/entity/Q1356407,ארנסט לנרט,סן סלוודור,
1967-08-20T00:00:00Z,זכר,nm0449316,במאי קולנוע,http://www.wikidata.org/entity/Q378882,אתגר קרת,רמת גן,
1963-01-04T00:00:00Z,נקבה,nm0030188,שחקן קולנוע,http://www.wikidata.org/entity/Q467369,אתי אנקרי,לוד,
1943-11-08T00:00:00Z,זכר,nm0203246,במאי קולנוע,http://www.wikidata.org/entity/Q887614,בועז דוידזון,תל אביב-יפו,
1980-03-27T00:00:00Z,זכר,nm2865678,שחקן,http://www.wikidata.org/entity/Q3575461,בכרי זיאד,יפו,
1989-01-26T00:00:00Z,נקבה,nm2348039,שחקן,http://www.wikidata.org/entity/Q3634472,בר בלפר,תל אביב-יפו,
1985-06-04T00:00:00Z,נקבה,nm2064685,שחקן,http://www.wikidata.org/entity/Q298197,בר רפאלי,הוד השרון,
1948-11-20T00:00:00Z,נקבה,nm0376706,שחקן,http://www.wikidata.org/entity/Q807482,ברברה הנדריקס,סטפנס,
1948-02-05T00:00:00Z,נקבה,nm0001347,שחקן,http://www.wikidata.org/entity/Q229042,ברברה הרשי,הוליווד,
1895-02-18T00:00:00Z,זכר,nm0012807,במאי קולנוע,http://www.wikidata.org/entity/Q2909468,ברוך אגדתי,בסרביה,
1941-03-22T00:00:00Z,זכר,nm0004486,שחקן קולנוע,http://www.wikidata.org/entity/Q123206,ברונו גנץ,ציריך,
1988-05-01T00:00:00Z,נקבה,nm3963151,שחקן קולנוע,http://www.wikidata.org/entity/Q6646483,בת-אל פאפורה,רומניה,
1970-05-27T00:00:00Z,זכר,nm0001212,שחקן,http://www.wikidata.org/entity/Q223790,ג'וזף פיינס,סולסברי,
1994-03-03T00:00:00Z,נקבה,nm2380472,שחקן,http://www.wikidata.org/entity/Q18665644,ג'וי ריגר,הרצליה,
1955-06-15T00:00:00Z,נקבה,nm0353546,שחקן קולנוע,http://www.wikidata.org/entity/Q271440,ג'ולי הגרטי,סינסינטי,
1973-03-31T00:00:00Z,נקבה,nm0712208,שחקן,http://www.wikidata.org/entity/Q3189137,ג'ולי-אן רות',צרפת,
1958-05-29T00:00:00Z,זכר,nm0451131,במאי קולנוע,http://www.wikidata.org/entity/Q455584,ג'וליאנו מר,נצרת,
